datetime	OpenPrice	Highprice	lowprice	closeprice	tradedvalue	Numberoftrades	TradedQuantity
24-03-2025	158.0000	159.0000	157.2000	158.3500	78968023.0000	7766	498706
21-03-2025	159.2000	159.8000	156.9000	157.2500	108397674.0000	7269	684394
20-03-2025	159.8000	160.1000	156.6500	159.0000	143838968.0000	9026	906870
19-03-2025	156.3500	159.2500	156.3500	158.5500	208375408.0000	12606	1318411
18-03-2025	152.8000	154.8500	152.3000	154.6500	766404910.0000	13931	4994631
17-03-2025	151.3000	152.6000	150.9500	151.8000	111889477.0000	8386	737225
13-03-2025	151.5500	153.5000	150.0500	150.8500	243255270.0000	13671	1603311
12-03-2025	150.7500	152.0000	147.7000	150.3000	165426109.0000	11039	1104497
11-03-2025	148.0000	151.7500	148.0000	150.8500	177718331.0000	11642	1181607
10-03-2025	151.6000	154.2000	150.4500	150.9500	199093770.0000	11840	1308760
07-03-2025	149.9500	152.4500	149.4000	151.5500	224480785.0000	19491	1483606
06-03-2025	146.6500	152.2000	146.5000	150.3500	627343200.0000	37158	4187239
05-03-2025	138.4000	146.5000	138.4000	146.1500	246240845.0000	18106	1710944
04-03-2025	135.8500	140.8500	135.8500	139.3000	118924094.0000	8412	855423
03-03-2025	137.0500	139.0000	134.3000	138.5000	389135761.0000	23147	2845036
28-02-2025	136.6500	137.6000	134.0500	137.2000	137296490.0000	9593	1009170
27-02-2025	137.7500	138.9500	135.8500	138.6500	84362933.0000	6434	614177
25-02-2025	138.2000	139.3500	136.7500	137.0500	163603816.0000	15960	1189913
24-02-2025	138.9500	140.6500	136.7000	137.6500	205908445.0000	11407	1476632
21-02-2025	137.5000	141.5500	137.2000	140.6000	242865432.0000	13742	1733736
20-02-2025	135.5500	138.3500	135.0000	138.0000	151711408.0000	12012	1107248
19-02-2025	134.7000	136.8500	133.0500	135.8500	88691714.0000	6384	653303
18-02-2025	134.3500	134.9000	131.7000	134.5000	306507883.0000	18033	2309704
17-02-2025	132.3000	134.8000	130.8000	134.3500	101292611.0000	6482	760563
14-02-2025	136.2000	139.2000	133.3500	134.4000	150655545.0000	8657	1110874
13-02-2025	132.0500	137.7000	132.0500	136.2000	143600416.0000	8167	1056230
12-02-2025	129.1000	133.2500	128.3500	132.2500	266530270.0000	11791	2030785
11-02-2025	132.6000	134.3500	129.7000	130.1000	126004637.0000	8862	955033
10-02-2025	138.2500	138.2500	133.0000	134.0000	150998592.0000	12128	1124302
07-02-2025	133.3500	138.7500	132.6000	138.3000	433335858.0000	33378	3171397
06-02-2025	134.3000	134.6500	132.0500	132.5500	96656159.0000	10562	727932
05-02-2025	133.1000	135.4000	133.1000	134.4000	72090278.0000	6881	535771
04-02-2025	132.5500	134.3500	131.9000	133.4000	151099664.0000	13685	1134755
03-02-2025	131.7000	132.4000	127.8000	131.9000	97666081.0000	7595	751685
01-02-2025	135.7500	135.7500	130.3500	132.9500	224962278.0000	20321	1686209
31-01-2025	131.1000	135.0000	129.8500	134.6500	311813842.0000	19007	2332575
30-01-2025	130.9500	132.1500	130.1000	131.1500	303006701.0000	14691	2301113
29-01-2025	129.1500	131.3000	128.5000	130.8000	140058291.0000	11632	1073295
28-01-2025	126.2000	130.5000	124.7000	128.7000	319419889.0000	22577	2491387
27-01-2025	129.3000	129.3500	125.8000	126.4000	207086383.0000	20154	1617780
24-01-2025	130.4500	133.1500	129.3500	130.0000	232752557.0000	14691	1772241
23-01-2025	128.0000	130.8000	127.7000	130.5000	149871999.0000	10124	1153060
22-01-2025	130.4000	130.4000	127.1000	128.9500	109087038.0000	6729	849907
21-01-2025	132.2500	132.4500	129.2000	129.6500	259494839.0000	19978	1984757
20-01-2025	131.2500	132.1000	128.9000	131.6500	139014815.0000	17956	1064805
17-01-2025	127.9500	131.1000	127.6000	130.3000	251245734.0000	11602	1943098
16-01-2025	128.1500	128.4500	126.5500	127.8000	128434120.0000	15230	1007111
15-01-2025	128.4500	128.4500	125.7500	126.5500	158429337.0000	16622	1246039
14-01-2025	122.9500	127.7000	122.9500	127.0000	369842256.0000	27906	2928101
13-01-2025	126.6000	126.6000	122.6000	122.9500	268996698.0000	16336	2156267
10-01-2025	129.9000	130.4500	126.7000	127.4000	114456756.0000	9347	892971
09-01-2025	132.2000	132.5000	129.6000	129.8500	105849898.0000	14210	809900
08-01-2025	133.7000	134.2500	131.8000	132.6000	97164201.0000	7419	732083
07-01-2025	132.5500	133.9500	132.0000	133.3500	193128725.0000	19142	1451194
06-01-2025	138.3000	138.4000	131.3500	132.2000	182419838.0000	17016	1364385
03-01-2025	138.2500	139.7000	137.7500	138.3000	119342802.0000	9349	860541
02-01-2025	136.8000	138.4000	136.3500	138.1500	191536385.0000	16957	1394322
01-01-2025	138.3500	138.3500	136.6000	136.7500	158167899.0000	20331	1153543
31-12-2024	136.7000	138.7000	136.6500	138.1000	152192846.0000	14980	1106246
30-12-2024	138.7500	139.3000	136.0500	136.9000	236177497.0000	20106	1712394
27-12-2024	141.0000	141.7500	138.7000	138.9500	111579110.0000	10728	796986
26-12-2024	141.0000	141.2000	139.5000	140.3500	98145524.0000	7838	699622
24-12-2024	141.4500	141.6000	139.3000	140.3500	144358180.0000	8447	1028658
23-12-2024	142.6500	143.8000	140.6500	141.7000	198069349.0000	16579	1391144
20-12-2024	143.2500	144.5000	140.0500	140.8500	216903221.0000	20359	1521457
19-12-2024	141.4000	143.8000	141.1500	143.3000	194046172.0000	17056	1362645
18-12-2024	145.8000	146.5500	143.3000	144.5000	89125499.0000	8209	615562
17-12-2024	147.5000	148.5000	145.3500	145.6500	189532114.0000	14516	1288867
16-12-2024	148.8000	149.8000	147.0500	147.9000	197069467.0000	13626	1330991
13-12-2024	150.0500	150.7500	145.6000	148.9500	380306626.0000	23008	2578810
12-12-2024	151.0000	151.5500	148.7000	150.8500	297780439.0000	19569	1983700
11-12-2024	150.4500	152.1000	150.1000	150.6000	247124654.0000	15071	1633667
10-12-2024	150.3500	152.5000	149.3500	150.3500	161666386.0000	9491	1070598
09-12-2024	148.3000	150.6000	146.6000	149.8000	216747416.0000	12163	1457874
06-12-2024	147.6000	148.6500	146.6500	148.2500	276198851.0000	18884	1872363
05-12-2024	146.5000	147.9000	144.8000	147.1000	177101905.0000	9231	1209830
04-12-2024	147.0000	147.1000	144.0000	145.8000	203583287.0000	19940	1398405
03-12-2024	146.9000	148.2500	146.3500	146.5500	177887026.0000	10440	1210952
02-12-2024	144.5000	146.8000	143.2000	146.4000	252173000.0000	21129	1734595
29-11-2024	143.8500	145.4500	143.0500	144.5500	272094244.0000	18338	1883423
28-11-2024	144.2500	145.2500	143.1000	143.4500	120505886.0000	8669	835743
27-11-2024	144.4500	144.9000	142.9000	144.5000	118852726.0000	6547	825909
26-11-2024	144.0500	145.8000	143.6000	144.4500	107856877.0000	8138	744230
25-11-2024	144.8000	146.1500	142.8500	143.6000	279050568.0000	19699	1928708
22-11-2024	140.2500	143.2000	139.6000	142.8000	271697192.0000	19372	1918444
21-11-2024	139.7500	141.6500	137.2000	140.2500	219635565.0000	12372	1572799
19-11-2024	141.7500	142.5000	139.0500	139.4500	248298299.0000	25417	1760152
18-11-2024	139.6500	143.2000	138.3000	141.3000	445808565.0000	28609	3171225
14-11-2024	139.7000	140.8000	137.5000	138.0000	339323835.0000	34287	2441717
13-11-2024	143.7000	143.7000	138.6500	139.2500	291850918.0000	20541	2077910
12-11-2024	146.8000	147.1500	143.7500	144.1500	166982718.0000	10831	1146090
11-11-2024	147.7500	147.7500	144.0500	144.9500	260756456.0000	15906	1789884
08-11-2024	152.9500	152.9500	146.8500	147.5500	335570306.0000	17079	2244172
07-11-2024	156.4000	156.8000	150.2000	150.9000	634896827.0000	21099	4118245
06-11-2024	153.8500	154.6000	149.6500	153.6000	546034700.0000	27630	3600316
05-11-2024	146.9500	152.5000	146.9500	152.3000	478929516.0000	23280	3180786
04-11-2024	150.9500	150.9500	145.1000	146.9500	206522695.0000	13911	1405708
01-11-2024	149.8500	150.3000	149.2000	149.7000	103155050.0000	18659	688399
31-10-2024	149.0000	149.9500	148.2000	148.6500	210065292.0000	11475	1410756
30-10-2024	148.3500	151.0000	148.3500	148.9500	153987760.0000	9394	1028556
29-10-2024	150.0000	150.4000	146.5000	150.0500	298931657.0000	19926	2018207
28-10-2024	145.8500	149.7000	144.7500	149.4500	209465756.0000	11361	1416428
25-10-2024	149.1000	149.6000	144.5000	145.8000	435876929.0000	41794	2986974
24-10-2024	149.3000	149.9000	148.0000	149.0000	237102147.0000	17634	1591683
23-10-2024	150.1500	151.9500	148.0500	148.8000	292489011.0000	25322	1951819
22-10-2024	155.0000	155.0000	150.1500	150.4500	161042126.0000	10322	1058504
21-10-2024	156.2000	157.8500	154.6000	155.0000	146213909.0000	11006	940710
18-10-2024	152.4500	156.2000	151.1000	155.3000	252726139.0000	11729	1641333
17-10-2024	155.5500	156.3000	152.1000	152.3500	307703646.0000	22945	2000639
16-10-2024	155.7500	156.6000	154.0000	155.2500	303674980.0000	19684	1954025
15-10-2024	159.3000	159.6000	155.0000	155.6500	225975493.0000	13950	1445654
14-10-2024	162.6000	163.3500	158.0500	158.3000	357233823.0000	22844	2236659
11-10-2024	159.5500	163.7500	159.2500	160.7000	240488215.0000	15201	1487548
10-10-2024	157.3500	161.2000	156.5000	159.6500	405293874.0000	17829	2539479
09-10-2024	159.7500	162.2000	158.1500	159.0000	313463275.0000	19888	1953434
08-10-2024	162.7500	163.1000	156.7000	159.5500	424009893.0000	18478	2664453
07-10-2024	166.8000	167.9500	162.3000	164.3000	668658102.0000	46828	4055707
04-10-2024	166.7500	169.1000	164.0000	166.7500	456709814.0000	24819	2734689
03-10-2024	165.0500	169.9500	164.7500	166.9500	524866424.0000	26947	3127682
01-10-2024	169.5000	169.6500	165.1000	167.0000	303798366.0000	34349	1818340
30-09-2024	167.6000	170.2000	167.3500	168.4500	520277027.0000	32913	3078147
27-09-2024	167.0000	169.1000	165.8500	166.5000	504772499.0000	23683	3018130
26-09-2024	162.0000	165.9000	160.5000	165.6000	537806110.0000	29112	3278171
25-09-2024	161.2000	162.7000	159.5000	161.6000	737861102.0000	43240	4578698
24-09-2024	154.5500	161.5000	154.5500	160.5500	802598597.0000	39328	5044874
23-09-2024	153.5500	154.3000	152.8000	153.9500	383030882.0000	30355	2494810
20-09-2024	151.1500	153.2500	150.8000	152.0500	665056384.0000	44044	4371897
19-09-2024	151.6000	152.2500	147.7500	149.6000	167540959.0000	14490	1118160
18-09-2024	152.6500	153.0000	149.6000	150.6000	118377761.0000	11347	783674
17-09-2024	154.1000	154.2000	152.3000	152.8000	99240822.0000	11509	648191
16-09-2024	155.5500	155.5500	153.5000	154.2000	252252289.0000	18315	1632353
13-09-2024	152.7500	155.4000	152.5000	153.4000	709152822.0000	35856	4606642
12-09-2024	151.9500	152.4000	148.7500	151.7500	300498258.0000	19657	1990979
11-09-2024	150.0000	150.2000	147.6500	148.1500	255165999.0000	27803	1711825
10-09-2024	150.0000	151.6000	148.8500	149.4500	213730746.0000	15562	1427248
09-09-2024	150.2500	150.8500	148.0000	149.4000	357359083.0000	39818	2393255
06-09-2024	152.4500	152.9500	149.6500	151.2500	427251862.0000	37502	2827533
05-09-2024	151.2000	152.8000	151.2000	151.7500	396923058.0000	28042	2614243
04-09-2024	149.7500	152.1500	149.2500	151.3000	267844421.0000	19878	1777113
03-09-2024	152.8500	153.4500	152.0000	152.1000	108045612.0000	11199	708678
02-09-2024	154.0000	154.0000	152.1500	152.8500	271472679.0000	23335	1775109
30-08-2024	153.0500	155.2000	152.4500	152.8000	355199607.0000	30584	2305059
29-08-2024	153.6500	153.6500	151.2000	153.0000	334644133.0000	26521	2192825
28-08-2024	154.9000	155.0000	153.0500	153.7000	237767698.0000	21978	1544838
27-08-2024	155.9500	156.5000	154.5000	154.7000	157234573.0000	10692	1012455
26-08-2024	154.8000	156.4000	153.6500	155.6500	1351330742.0000	14439	8758211
23-08-2024	154.0000	154.5500	152.6000	154.1500	327600189.0000	19483	2128487
22-08-2024	152.3000	154.3500	152.2500	154.1000	218618922.0000	14630	1424506
21-08-2024	153.2000	154.1500	151.6500	151.9000	344728947.0000	29994	2260331
20-08-2024	155.9000	155.9000	152.7500	154.0000	475924225.0000	33592	3096463
19-08-2024	151.0000	154.2500	150.3500	153.9500	658592147.0000	41632	4325180
16-08-2024	148.3000	150.0000	146.5000	149.5500	560521351.0000	46118	3787246
14-08-2024	150.0500	150.0500	142.3500	146.2000	1012127198.0000	77886	6971802
13-08-2024	152.6000	152.9500	148.4500	148.9000	188046508.0000	19617	1248455
12-08-2024	151.0500	153.4000	149.8500	152.0500	194481206.0000	17417	1279459
09-08-2024	153.0000	153.0000	151.2500	151.8000	316956723.0000	34973	2084284
08-08-2024	153.9500	153.9500	150.0000	150.5000	502871688.0000	26566	3320904
07-08-2024	153.9500	154.2500	151.9500	153.8500	491593142.0000	24836	3213538
06-08-2024	151.3500	153.9000	149.6000	150.2500	330814716.0000	31296	2180374
05-08-2024	155.0000	155.0000	149.0000	149.8000	715293646.0000	60502	4720926
02-08-2024	162.0000	162.0000	154.6000	158.2000	615594787.0000	42610	3888501
01-08-2024	168.0000	168.9000	160.9000	163.0500	1193541008.0000	57388	7237330
31-07-2024	166.6000	166.6000	163.5000	165.3500	289425769.0000	16134	1756430
30-07-2024	163.4000	165.3500	161.3000	164.0500	449867657.0000	21741	2756963
29-07-2024	164.8000	164.8000	162.3500	162.8500	529284200.0000	36274	3237608
26-07-2024	158.4500	162.9000	158.2000	162.6000	664573323.0000	42477	4109598
25-07-2024	158.9500	158.9500	156.9500	157.4500	221713435.0000	19633	1407059
24-07-2024	160.0000	162.0500	159.1500	160.3000	361768713.0000	27757	2249635
23-07-2024	161.7000	162.0000	155.0000	160.0500	583277305.0000	51229	3666875
22-07-2024	159.6000	160.7000	156.5000	160.3500	371392184.0000	28496	2329122
19-07-2024	166.3000	166.3000	157.3000	157.7500	583077733.0000	43681	3649993
18-07-2024	167.9000	167.9000	164.4500	166.3500	281684092.0000	19159	1702015
16-07-2024	168.0000	169.8000	166.8000	167.0500	522573121.0000	29811	3105057
15-07-2024	168.7000	168.7500	165.8000	166.8000	497120993.0000	37509	2975454
12-07-2024	170.4000	170.4000	168.0500	168.7000	467930686.0000	38037	2767382
11-07-2024	170.0000	170.9000	168.6500	169.0000	426224254.0000	30867	2512614
10-07-2024	172.5000	172.9500	167.0500	168.0000	554643456.0000	50104	3280315
09-07-2024	173.9500	173.9500	171.5000	171.8000	295801112.0000	26050	1715352
08-07-2024	174.7500	175.4500	172.1000	172.3000	706439143.0000	39703	4074473
05-07-2024	176.4500	176.4500	173.4000	174.7500	438229333.0000	23525	2507769
04-07-2024	176.9000	178.1500	175.8500	176.2500	197166705.0000	13719	1114391
03-07-2024	174.5500	176.7500	174.5000	176.3500	274988650.0000	15489	1567263
02-07-2024	175.1500	175.7000	173.5500	174.5000	374563892.0000	27536	2145796
01-07-2024	174.7500	176.0000	173.5500	174.1000	327978553.0000	17769	1874606
28-06-2024	174.5500	177.1000	173.5500	174.0000	318343321.0000	24639	1816487
27-06-2024	173.4500	174.9500	171.7500	174.1500	279804027.0000	18124	1613316
26-06-2024	175.5000	175.7000	171.8000	172.5500	511941381.0000	40119	2960795
25-06-2024	177.8500	179.0000	175.2000	175.7000	153178880.0000	11745	865945
24-06-2024	177.7000	178.9500	175.1000	177.9000	298332833.0000	17621	1683765
21-06-2024	180.0000	180.9500	178.2000	179.8500	656545676.0000	42134	3654088
